timestamp,avg_speed,cam.preset,avg_speed_bus
2021-12-10 11:00:00,52.5,1.0,
2021-12-10 11:05:00,28.333333333333332,1.0,
2021-12-10 11:10:00,44.0,1.0,
2021-12-10 11:15:00,31.333333333333332,1.0,
2021-12-10 11:20:00,26.5,1.0,
2021-12-10 11:25:00,46.666666666666664,1.0,
2021-12-10 11:30:00,37.5,1.0,
2021-12-10 11:35:00,40.666666666666664,1.0,
2021-12-10 11:40:00,30.0,1.0,
2021-12-10 11:45:00,17.0,1.0,
2021-12-10 11:50:00,,,
2021-12-10 11:55:00,30.0,1.0,
2021-12-10 12:00:00,58.0,1.0,
2021-12-10 12:05:00,26.0,1.0,
2021-12-10 12:10:00,37.666666666666664,1.0,
2021-12-10 12:15:00,37.0,1.0,
2021-12-10 12:20:00,29.333333333333332,1.0,
2021-12-10 12:25:00,42.0,1.0,
2021-12-10 12:30:00,46.666666666666664,1.0,
2021-12-10 12:35:00,25.0,1.0,
2021-12-10 12:40:00,40.333333333333336,1.0,
2021-12-10 12:45:00,35.0,1.0,
2021-12-10 12:50:00,48.0,1.0,
2021-12-10 12:55:00,39.5,1.0,
2021-12-10 13:00:00,44.5,1.0,
2021-12-10 13:05:00,38.666666666666664,1.0,
2021-12-10 13:10:00,20.0,1.0,
2021-12-10 13:15:00,14.333333333333334,1.0,
2021-12-10 13:20:00,55.5,1.0,
2021-12-10 13:25:00,36.0,1.0,
2021-12-10 13:30:00,35.5,1.0,
2021-12-10 13:35:00,19.666666666666668,1.0,
2021-12-10 13:40:00,33.0,1.0,
2021-12-10 13:45:00,25.666666666666668,1.0,
2021-12-10 13:50:00,19.0,1.0,
2021-12-10 13:55:00,60.0,1.0,
2021-12-10 14:00:00,16.0,1.0,
2021-12-10 14:05:00,30.5,1.0,
2021-12-10 14:10:00,30.0,1.0,
2021-12-10 14:15:00,13.0,1.0,
2021-12-10 14:20:00,26.333333333333332,1.0,
2021-12-10 14:25:00,19.0,1.0,
2021-12-10 14:30:00,43.0,1.0,
2021-12-10 14:35:00,33.0,1.0,
2021-12-10 14:40:00,24.5,1.0,
2021-12-10 14:45:00,46.5,1.0,
2021-12-10 14:50:00,25.0,1.0,
2021-12-10 14:55:00,42.5,1.0,
2021-12-10 15:00:00,34.5,1.0,
2021-12-10 15:05:00,17.666666666666668,1.0,
2021-12-10 15:10:00,17.0,1.0,
2021-12-10 15:15:00,33.666666666666664,1.0,
2021-12-10 15:20:00,17.0,1.0,
2021-12-10 15:25:00,17.5,1.0,
2021-12-10 15:30:00,36.5,1.0,
2021-12-10 15:35:00,13.0,1.0,
2021-12-10 15:40:00,14.0,1.0,
2021-12-10 15:45:00,3.3333333333333335,1.0,
2021-12-10 15:50:00,54.0,1.0,
2021-12-10 15:55:00,26.5,1.0,
2021-12-10 16:00:00,43.0,1.0,
2021-12-10 16:05:00,0.0,1.0,
2021-12-10 16:10:00,57.0,1.0,
2021-12-10 16:15:00,32.0,1.0,
2021-12-10 16:20:00,30.666666666666668,1.0,
2021-12-10 16:25:00,35.0,1.0,
2021-12-10 16:30:00,13.333333333333334,1.0,
2021-12-10 16:35:00,12.0,1.0,
2021-12-10 16:40:00,42.0,1.0,
2021-12-10 16:45:00,33.5,1.0,
2021-12-10 16:50:00,0.0,1.0,
2021-12-10 16:55:00,29.666666666666668,1.0,
2021-12-10 17:00:00,0.0,1.0,
2021-12-10 17:05:00,9.5,1.0,
2021-12-10 17:10:00,46.0,1.0,
2021-12-10 17:15:00,0.0,1.0,
2021-12-10 17:20:00,37.0,1.0,
2021-12-10 17:25:00,51.333333333333336,1.0,
2021-12-10 17:30:00,40.0,1.0,
2021-12-10 17:35:00,19.0,1.0,
2021-12-10 17:40:00,0.0,1.0,
2021-12-10 17:45:00,32.0,1.0,
2021-12-10 17:50:00,22.0,1.0,
2021-12-10 17:55:00,44.0,1.0,
2021-12-10 18:00:00,34.0,1.0,
2021-12-10 18:05:00,,,
2021-12-10 18:10:00,41.666666666666664,1.0,
2021-12-10 18:15:00,0.0,1.0,
2021-12-10 18:20:00,33.5,1.0,
2021-12-10 18:25:00,49.0,1.0,
2021-12-10 18:30:00,11.666666666666666,1.0,
2021-12-10 18:35:00,17.5,1.0,
2021-12-10 18:40:00,25.0,1.0,
2021-12-10 18:45:00,18.5,1.0,
2021-12-10 18:50:00,,,
2021-12-10 18:55:00,10.666666666666666,1.0,
2021-12-10 19:00:00,11.0,1.0,
2021-12-10 19:05:00,38.333333333333336,1.0,
2021-12-10 19:10:00,40.0,1.0,
2021-12-10 19:15:00,29.0,1.0,
2021-12-10 19:20:00,21.0,1.0,
2021-12-10 19:25:00,0.0,1.0,
2021-12-10 19:30:00,56.0,1.0,
2021-12-10 19:35:00,28.5,1.0,
2021-12-10 19:40:00,16.5,1.0,
2021-12-10 19:45:00,45.0,1.0,
2021-12-10 19:50:00,,,
2021-12-10 19:55:00,31.5,1.0,
2021-12-10 20:00:00,,,
2021-12-10 20:05:00,,,
2021-12-10 20:10:00,12.333333333333334,1.0,
2021-12-10 20:15:00,40.0,1.0,
2021-12-10 20:20:00,,,
2021-12-10 20:25:00,,,
2021-12-10 20:30:00,0.0,1.0,
2021-12-10 20:35:00,33.0,1.0,
2021-12-10 20:40:00,,,
2021-12-10 20:45:00,30.0,1.0,
2021-12-10 20:50:00,55.0,1.0,
2021-12-10 20:55:00,22.0,1.0,
2021-12-10 21:00:00,,,
2021-12-10 21:05:00,0.0,1.0,
2021-12-10 21:10:00,27.0,1.0,
2021-12-10 21:15:00,41.5,1.0,
2021-12-10 21:20:00,42.0,1.0,
2021-12-10 21:25:00,45.0,1.0,
2021-12-10 21:30:00,44.0,1.0,
2021-12-10 21:35:00,32.0,1.0,
2021-12-10 21:40:00,30.0,1.0,
2021-12-10 21:45:00,,,
2021-12-10 21:50:00,35.0,1.0,
2021-12-10 21:55:00,,,
2021-12-10 22:00:00,32.0,1.0,
2021-12-10 22:05:00,33.0,1.0,
2021-12-10 22:10:00,39.0,1.0,
2021-12-10 22:15:00,,,
2021-12-10 22:20:00,,,
2021-12-10 22:25:00,,,
2021-12-10 22:30:00,,,
2021-12-10 22:35:00,0.0,1.0,
2021-12-10 22:40:00,30.0,1.0,
2021-12-10 22:45:00,,,
2021-12-10 22:50:00,32.0,1.0,
2021-12-10 22:55:00,0.0,1.0,
2021-12-10 23:00:00,,,
2021-12-10 23:05:00,,,
2021-12-10 23:10:00,,,
2021-12-10 23:15:00,,,
2021-12-10 23:20:00,34.0,1.0,
2021-12-10 23:25:00,0.0,1.0,
2021-12-10 23:30:00,45.0,1.0,
2021-12-10 23:35:00,,,
2021-12-10 23:40:00,,,
2021-12-10 23:45:00,0.0,1.0,
2021-12-10 23:50:00,,,
2021-12-10 23:55:00,0.0,1.0,
